l1_identifier,l1_label_en,l1_label_it
1,Absent signage,Segnaletica assente
2,Vertical signage,Segnaletica verticale
3,Horizontal Signage,Segnaletica orizzontale
4,Vertical and Horizontal Signage,Segnaletica verticale e orizzontale
5,Temporary construction site signage,Segnaletica temporanea di cantiere
