l1_identifier,l1_label_en,l1_label_it
1,Clear,Sereno
2,Fog,Nebbia
3,Rain,Pioggia
4,Hail,Grandine
5,Snow,Neve
6,Strong wind,Vento forte
7,Undefined,Non definito
