l1_identifier,l1_label,l2_identifier,l2_label,l3_identifier,l3_label,l3_definition
II,Immobili a destinazione speciale,II.D,Gruppo D,D.6,Fabbricati e locali per esercizi sportivi (con fine di lucro),"Unità destinate ad attività sportive privati a pagamento, club sportivi, campetti, piscine ecc."
II,Immobili a destinazione speciale,II.D,Gruppo D,D.7,Fabbricati costruiti o adattati per le speciali esigenze di un’attività industriale e non suscettibili di destinazione diversa senza radicali trasformazioni.,Sono quelle strutture costruiti specificatamente per quel tipo di attività a cui sono destinati. Esempi sono i gli impianti per i rifornimenti di carburante o gli impianti industriali.
II,Immobili a destinazione speciale,II.D,Gruppo D,D.8,Fabbricati costruiti o adattati per le speciali esigenze di un’attività commerciale e non suscettibili di destinazione diversa senza radicali trasformazioni.,"Grandi negozi, centri commerciali."
II,Immobili a destinazione speciale,II.D,Gruppo D,D.9,"Edifici galleggianti o sospesi assicurati a punti fissi del suolo, ponti privati soggetti a pedaggio.",Edifici che non hanno un suolo proprio.
II,Immobili a destinazione speciale,II.D,Gruppo D,D.10,Fabbricati per funzioni produttive connesse alle attività agricole.,Sarebbero la categoria a cui devono accatastarsi i vecchi fabbricati rurali.
III,Immobili a destinazione particolare,III.E,Gruppo E,E.1,"Stazioni per servizi di trasporto, terrestri, marittimi ed aerei.","Stazioni ferroviarie, porti, aeroporti. "
III,Immobili a destinazione particolare,III.E,Gruppo E,E.2,Ponti comunali e provinciali soggetti a pedaggio.,Ponti pubblici con passaggio a pagamento. 
III,Immobili a destinazione particolare,III.E,Gruppo E,E.3,Costruzioni e fabbricati per speciali esigenze pubbliche,Costruzioni e fabbricati per speciali esigenze pubbliche. Un esempio sono le Caserme dei Carabinieri.  
III,Immobili a destinazione particolare,III.E,Gruppo E,E.4,Recinti chiusi per speciali esigenze pubbliche.,"Recinti chiusi per speciali esigenze pubbliche - Per mercati, per posteggio bestiame, ecc."
III,Immobili a destinazione particolare,III.E,Gruppo E,E.5,Fabbricati costituenti fortificazioni e loro dipendenze.,Fabbricati costituenti fortificazioni e loro dipendenze.
III,Immobili a destinazione particolare,III.E,Gruppo E,E.6,"Fari, semafori, torri per rendere d’uso pubblico l’orologio comunale","Fari, semafori, torri per rendere d' uso pubblico l'orologio comunale."
III,Immobili a destinazione particolare,III.E,Gruppo E,E.7,Fabbricati destinati all’esercizio pubblico dei culti.,"Chiese, cattedrali ecc."
III,Immobili a destinazione particolare,III.E,Gruppo E,E.8,"Fabbricati e costruzioni nei cimiteri, esclusi i colombari, i sepolcri e le tombe di famiglia.","Fabbricati e costruzioni nei cimiteri, esclusi i colombari, i sepolcri e le tombe di famiglia."
III,Immobili a destinazione particolare,III.E,Gruppo E,E.9,Edifici a destinazione particolare non compresi nelle categorie precedenti del gruppo E.,"Tutto quello di categoria E che non è stato possibile inserire nelle categorie precedenti, può essere inserito in questa. "
IV,Entità urbane,IV.F,Gruppo F,F.1,Area urbana,Aree o corti a piano terra di fabbricati già accatastati all'urbano.
IV,Entità urbane,IV.F,Gruppo F,F.2,Unità collabenti,"Unità collabenti - fabbricati fatiscenti, ruderi, unità con tetto crollato e inutilizzabili."
IV,Entità urbane,IV.F,Gruppo F,F.3,Unità in corso di costruzione,Unità che non sono state ancora ultimate. 
IV,Entità urbane,IV.F,Gruppo F,F.4,Unità in corso di definizione,Unità incomplete non definite nella consistenza e nella destinazione d'uso. 
IV,Entità urbane,IV.F,Gruppo F,F.5,Lastrico solare,Terrazze e aree libere sopra unità immobiliari preesistenti. 
IV,Entità urbane,IV.F,Gruppo F,F.6,Fabbricato in attesa di dichiarazione,"Si tratta di fabbricati in corso di accatastamento, già introdotti nelle mappe del catasto terreni ed in via di completamento della presentazione con la pratica DOCFA al catasto fabbricati. "
IV,Entità urbane,IV.F,Gruppo F,F.7,Infrastrutture di reti pubbliche di comunicazione,
