l1_identifier,l1_label_en,l1_label_it
1,One-way roadway,Una carreggiata senso unico
2,One two-way roadway,Una carreggiata doppio senso
3,Two roadways,Due carreggiate
4,More than two roadways,Più di due carreggiate
